accession,sample_name
SRR24288447,525
SRR24288446,479
SRR24288462,485
SRR24288451,497
SRR24288437,566
SRR24288426,481
SRR24288415,555
SRR24288413,483
SRR24288412,486
SRR24288411,518
SRR24288445,2721D
SRR24288471,490
SRR24288470,517
SRR24288469,533
SRR24288468,532
SRR24288467,547
SRR24288466,474
SRR24288465,2810A
SRR24288464,489
SRR24288463,562
SRR24288461,514
SRR24288460,569
SRR24288459,484
SRR24288458,546
SRR24288457,496
SRR24288456,515
SRR24288455,567
SRR24288454,563
SRR24288453,522
SRR24288452,511
SRR24288450,513
SRR24288449,568
SRR24288448,475
SRR24288444,524
SRR24288443,476
SRR24288442,512
SRR24288441,510
SRR24288440,543
SRR24288439,523
SRR24288438,2791A
SRR24288436,535
SRR24288435,545
SRR24288434,557
SRR24288433,531
SRR24288432,548
SRR24288431,2789A
SRR24288430,2834A
SRR24288429,2366A
SRR24288428,2366B
SRR24288427,2221A
SRR24288425,vdB.193.1
SRR24288424,vdB.199.1
SRR24288423,vdB.205.1
SRR24288422,vdB.220.1
SRR24288421,vdB.224.2
SRR24288420,vdB.414.4
SRR24288419,2221B
SRR24288418,2710A
SRR24288417,2710B
SRR24288416,2710C
SRR24288414,2710D
SRR24651033,499
SRR24651032,473
SRR24651031,VDB.FMT.100_1
SRR24651030,VDB.FMT.101_1
SRR24651029,VDB.FMT.102_1
SRR24651028,VDB.FMT.103
SRR24651027,VDB.FMT.104
SRR24651026,VDB.FMT.105